2021-12-16 20:12:46 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 22:12:867 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:937 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:364 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (a1c77795a9ae6b3f36d8644115b854f6)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:488 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (a1c77795a9ae6b3f36d8644115b854f6)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:524 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (a1c77795a9ae6b3f36d8644115b854f6)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:976 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:49 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (330d3e21a1e355fcc05e366dfd5fb400)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:77 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (330d3e21a1e355fcc05e366dfd5fb400)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:100 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (330d3e21a1e355fcc05e366dfd5fb400)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:548 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:57 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (1bd3a596c7947d66d027f86dadbcfbf9)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:94 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (1bd3a596c7947d66d027f86dadbcfbf9)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:120 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (1bd3a596c7947d66d027f86dadbcfbf9)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:488 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:803 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (92c4e95d12b6119cee6dfde7664c0761)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:843 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (92c4e95d12b6119cee6dfde7664c0761)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:880 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (92c4e95d12b6119cee6dfde7664c0761)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:402 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:790 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (39cd468c9e3dd56c66f1fb21431fa32f)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:933 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (39cd468c9e3dd56c66f1fb21431fa32f)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:963 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (39cd468c9e3dd56c66f1fb21431fa32f)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:886 INFO  ManageDriver :30 - Launching Chrome Browser
2021-12-16 23:12:927 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (fa910390526e3129e405bbe154f1455e)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
2021-12-16 23:12:963 INFO  HomePage :51 - mouse Hover On Buy And Sell [[ChromeDriver: chrome on WINDOWS (fa910390526e3129e405bbe154f1455e)] -> xpath: //ul[@class='uhf-menu']//li[1]//div[@class='uhf-child-menu']//li//a]
